Topics,Representation,Neutral,Positive,Negative,Highest Score,Topic Sentiment,Token Predictions Corrected,Count
-1,"['muito', 'lugar', 'bom', 'atendimento', 'bem', 'mais', 'animar', 'ter', 'super', 'comida']",0.05117634309483974,0.8109007799094825,0.13792287556800256,0.8109007799094825,Positive,"(('Rio', 'I-LOC'), 7)",330
0,"['mexicano', 'comida', 'restaurante', 'bom', 'mais', 'muito', 'ter', 'ambiente', 'bem', 'música']",0.055268671843311135,0.82033678758538,0.12439454168120821,0.82033678758538,Positive,"(('mexicana', 'I-MISC'), 308)",530
1,"['bom', 'comida', 'atendimento', 'muito', 'comer', 'ambiente', 'excelente', 'agradável', 'maravilhoso', 'ótimo']",0.033215231648156124,0.8810163484788255,0.08576842249603941,0.8810163484788255,Positive,"(('Maria', 'I-PER'), 5)",380
2,"['música', 'bom', 'ambiente', 'muito', 'musica', 'atendimento', 'comer', 'animar', 'comida', 'excelente']",0.03716278360936501,0.8903028014242134,0.07253441156219605,0.8903028014242134,Positive,"(('Rio', 'I-LOC'), 4)",347
3,"['aniversário', 'comemorar', 'amigo', 'muito', 'bom', 'lugar', 'amiga', 'ambiente', 'comemoração', 'mais']",0.043821079031719515,0.8406731272271524,0.11550579263518254,0.8406731272271524,Positive,"(('Barra', 'I-LOC'), 4)",240
4,"['bebida', 'drink', 'cerveja', 'bom', 'atendimento', 'muito', 'gelar', 'comer', 'ambiente', 'excelente']",0.03348877969374125,0.8928005773204941,0.07371065152446143,0.8928005773204941,Positive,"(('Eveline', 'I-PER'), 4)",222
5,"['restaurante', 'bom', 'muito', 'atendimento', 'comida', 'recomendar', 'bem', 'excelente', 'qualidade', 'super']",0.04036184702841502,0.866447406054354,0.0931907456501254,0.866447406054354,Positive,"(('Maria', 'I-PER'), 4)",147
6,"['guacamole', 'barra', 'mais', 'restaurante', 'muito', 'bom', 'super', 'ter', 'comida', 'já']",0.06265779299262379,0.7895169276211943,0.147825279650611,0.7895169276211943,Positive,"(('Guacamole', 'I-ORG'), 38)",140
7,"['tequila', 'tequileiro', 'muito', 'margarita', 'bom', 'divertido', 'bem', 'ambiente', 'mariachi', 'adorar']",0.04789458413488499,0.8086171561095974,0.14348825869740606,0.8086171561095974,Positive,"(('<s>', 'I-LOC'), 2)",101
8,"['atendimento', 'muito', 'atencioso', 'excelente', 'funcionário', 'bom', 'lugar', 'maravilhoso', 'super', 'ambiente']",0.032554822761322495,0.8800483271479607,0.08739684855960228,0.8800483271479607,Positive,"(('Mateus', 'I-PER'), 2)",92
9,"['não', 'mais', 'chegar', 'fila', 'hora', 'restaurante', 'minuto', 'demorar', 'pedir', 'garçom']",0.13050201560395794,0.3674500192314185,0.5020479606967923,0.5020479606967923,Negative,"(('Barra', 'I-LOC'), 4)",74
10,"['lugar', 'experiência', 'vir', 'muito', 'aqui', 'incrível', 'super', 'maravilhoso', 'vez', 'bom']",0.04701359371849617,0.8117905297251635,0.14119587498608716,0.8117905297251635,Positive,"(('México', 'I-LOC'), 2)",43
11,"['tablet', 'pedido', 'sistema', 'facilitar', 'mesa', 'digital', 'fazer', 'através', 'atendimento', 'muito']",0.063335229922086,0.7696284849196673,0.167036293837009,0.7696284849196673,Positive,"(('Tablet', 'I-MISC'), 1)",40
12,"['restaurante', 'mariachi', 'mais', 'bem', 'tequileiro', 'animar', 'temático', 'comida', 'pena', 'muito']",0.06025475396641663,0.7973977851016181,0.14234745663457682,0.7973977851016181,Positive,"(('Mariachis', 'I-ORG'), 2)",35
13,"['local', 'amigo', 'mal', 'ameir', 'atendimento', 'não', 'bebida', 'amiga', 'vitor', 'lover']",0.0625168587448019,0.703867243320653,0.23361591101539406,0.703867243320653,Positive,"(('Matheus', 'I-PER'), 2)",33
14,"['mariachi', 'show', 'muito', 'super', 'lindo', 'lugar', 'achar', 'comida', 'ambiente', 'maria']",0.02799485583693303,0.9078476983925392,0.06415743957241547,0.9078476983925392,Positive,"(('Mariachis', 'I-ORG'), 2)",29
15,"['guacamole', 'aniversário', 'comemorar', 'mais', 'atendido', 'comemorei', 'comemoração', 'ontem', 'ótimo', 'mesa']",0.0473726736023449,0.7685688394480027,0.18405849255549794,0.7685688394480027,Positive,"(('Guacamole', 'I-LOC'), 10)",26
16,"['amigo', 'família', 'lugar', 'ir', 'familiar', 'ambiente', 'gostar', 'aconchegante', 'buscar', 'recomendar']",0.05328017675007383,0.8041596247090234,0.1425601899649741,0.8041596247090234,Positive,"(('Breno', 'I-PER'), 1)",18
17,"['rio', 'maravilhoso', 'super', 'visita', 'conhecer', 'tijuca', 'visitar', 'contar', 'ir', 'espetacular']",0.03043801090097986,0.8634809395298362,0.10608106630388647,0.8634809395298362,Positive,"(('Rio', 'I-LOC'), 12)",16
18,"['comemoração', 'lugar', 'amigo', 'comemorar', 'boa', 'comida', 'família', 'ambiente', 'ideal', 'bom']",0.026644002558896318,0.9076192248612642,0.0657367485400755,0.9076192248612642,Positive,"(('Gabriel', 'I-PER'), 1)",16
19,"['burrito', 'taco', 'nacho', 'mojito', 'prato', 'saboroso', 'não', 'chilli', 'mignon', 'descrição']",0.06630963090663919,0.7378159933365308,0.19587439062217107,0.7378159933365308,Positive,"(('de', 'I-MISC'), 2)",13
